date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:19	466440/466440	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2004:38:18%20GMT	https://patelparth1960.wixsite.com/toybusiness	C:/My%20Web%20Sites/hci_2/patelparth1960.wixsite.com/toybusiness.html	(from )
16:38:20	443/443	---M--	200	added ('OK')	text/plain	etag:W/%221bb-qSg0lWY7vlNGBcuw1AWd2wUjVWU%22	https://patelparth1960.wixsite.com/robots.txt		(from )
16:38:20	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jun%202020%2004:38:20%20GMT	https://patelparth1960.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/hci_2/patelparth1960.wixsite.com/sitemap.xml	(from https://patelparth1960.wixsite.com/toybusiness)
16:38:20	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jun%202020%2004:38:20%20GMT	https://patelparth1960.wixsite.com/feed.xml	C:/My%20Web%20Sites/hci_2/patelparth1960.wixsite.com/feed.xml	(from https://patelparth1960.wixsite.com/toybusiness)
16:38:21	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/My%20Web%20Sites/hci_2/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://patelparth1960.wixsite.com/toybusiness)
16:38:21	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/hci_2/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://patelparth1960.wixsite.com/toybusiness)
16:38:22	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/My%20Web%20Sites/hci_2/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://patelparth1960.wixsite.com/toybusiness)
16:38:22	104998/104998	---M-Z	200	added ('OK')	application/javascript	etag:W/%22949ba62b42721d4404624a148729bcd1%22	https://static.parastorage.com/services/wix-bolt/1.6050.0/bolt-main/app/bolt-custom-elements.min.js	C:/My%20Web%20Sites/hci_2/static.parastorage.com/services/wix-bolt/1.6050.0/bolt-main/app/bolt-custom-elements.min.js	(from https://patelparth1960.wixsite.com/toybusiness)
16:38:23	17493/17493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/My%20Web%20Sites/hci_2/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://patelparth1960.wixsite.com/toybusiness)
16:38:24	736856/736856	---M-Z	200	added ('OK')	application/javascript	etag:W/%224ef662092bbc256b3ad2f5184964184c%22	https://patelparth1960.wixsite.com/_partials/wix-bolt/1.6050.0/node_modules/viewer-platform-worker/dist/wixcode-worker.js	C:/My%20Web%20Sites/hci_2/patelparth1960.wixsite.com/_partials/wix-bolt/1.6050.0/node_modules/viewer-platform-worker/dist/wixcode-worker.js	(from https://patelparth1960.wixsite.com/toybusiness)
